"Lot","mumax","var_mumax_CRR"
817,3.41913694706015,0.3344
818,3.37143727796662,0.333
819,3.82106865140836,0.3347
820,2.57890895650753,0.3341
821,2.70183214554833,0.335
822,1.24365939693802,0.3215
823,3.31553409754159,0.3309
824,2.63375575939141,0.3286
825,3.3238117186462,0.3309
826,3.67980382442677,0.3301
827,2.729252338855,0.3382
828,2.98824781866047,0.3359
829,1.82334476048149,0.3435
830,4.592767142253,0.3322
831,4.18759049984667,0.3401
832,3.81420180072164,0.3371
833,3.03697086068236,0.3369
834,3.38436389116422,0.3432
835,2.64979843113477,0.3306
836,2.72799971139907,0.3329
837,2.70416891592665,0.3352
838,3.11665553228721,0.3303
839,2.18872296123343,0.3384
840,2.49660276323244,0.3322
841,2.32274743556759,0.3404
842,2.36146952513139,0.3353
843,2.65466296779885,0.3342
844,3.57926248151784,0.3278
845,2.78405122950172,0.3283
846,3.96736371670866,0.3425
847,4.39777562445211,0.3384
848,3.03033222815905,0.3381
849,2.01019576863403,0.3384
850,2.43505702340968,0.3302
851,4.68346748596087,0.3346
852,2.34427850459296,0.3307
853,3.84653749014614,0.3329
854,1.38521099154273,0.3262
855,2.45370077270708,0.3338
856,5.32501849774455,0.3327
857,2.994072333336,0.3225
858,3.4631617501163,0.3355
859,4.30368223276366,0.3308
860,2.60154840307751,0.3297
861,1.79581243244064,0.328
862,2.79597344853979,0.3288
863,2.18313910630923,0.3438
864,3.01598266449964,0.3377
865,2.04196339351722,0.3276
866,3.75568730178599,0.3405
867,3.75029768369631,0.3275
868,2.14588128886161,0.3334
869,2.42825290522943,0.3409
870,2.07987148568923,0.3277
871,2.55666394066141,0.3289
872,2.97501288674963,0.3363
873,2.88493474930639,0.3407
874,3.21492596816899,0.3289
875,3.33287618472217,0.3359
876,2.80089311143253,0.3334
877,3.80576090527561,0.3407
878,2.4898493398906,0.3341
879,2.87535526368543,0.3301
880,3.30601641993475,0.3306
881,3.44968117568568,0.3311
882,4.01093346509526,0.3321
883,2.5766770402158,0.3428
884,3.89479895587722,0.3326
885,3.61205730668158,0.3327
886,2.88757855359616,0.331
887,5.25683376772296,0.3318
888,2.4486047701528,0.3265
889,2.82368287611041,0.3395
890,3.92204040833205,0.3432
891,3.40006031935396,0.333
892,3.93941875534075,0.3381
893,2.36380026537187,0.3323
894,4.20290176900245,0.3385
895,2.07112791903013,0.3317
896,1.46675098223655,0.3277
897,4.3641984782054,0.3397
898,3.67772732293625,0.3403
899,1.59409535727262,0.3332
900,2.36758772105358,0.3277
901,3.26699528728384,0.3361
902,2.88016244863536,0.3249
903,0.0444321645736222,0.3227
904,3.46976411699487,0.3253
905,1.66586649976971,0.3342
906,2.11684083267482,0.3319
907,2.31760387788403,0.33
908,1.50559824093486,0.3294
909,4.31535611404114,0.3334
910,2.59737602543336,0.3372
911,3.35477884213749,0.3425
912,2.53683381901554,0.3355
913,3.51554654885049,0.3382
914,3.17790905391449,0.3306
915,1.98884030429135,0.3333
916,2.04746056804143,0.3363
917,0.889106007760892,0.3294
918,2.2351258777528,0.3299
919,2.85924714233301,0.3331
920,4.04072497950519,0.3422
921,3.94195202905335,0.3297
922,3.83800003189518,0.3301
923,2.76536457006563,0.3331
924,3.4974013161453,0.3331
925,5.30499902575739,0.337
926,5.01381486012967,0.3413
927,3.23143041782987,0.3401
928,3.57456239617806,0.3334
929,3.07601081926096,0.3372
930,1.30448096195744,0.3372
931,3.58586585692589,0.3376
932,0.729501415692389,0.3364
933,5.54707718791917,0.3304
934,1.87582901843892,0.3357
