Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
167,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.53,9.13,3.6,NaCl1,6.1
168,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,1,5,11/1/18,15,5.67,9.13,3.46,NaCl1,5.7
169,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.55,7.37,1.82,NaCl1,7.57
170,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.87,8.27,2.4,NaCl1,7
171,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.79,8.5,2.71,NaCl1,6
172,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.83,8.23,2.4,NaCl1,6.68
173,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.53,7.58,2.05,NaCl1,5.85
174,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,1,5,11/16/18,30,5.67,8.48,2.81,NaCl1,6.24
175,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.55,9.18,3.63,NaCl1,7.18
176,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.87,9.08,3.21,NaCl1,6.88
177,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.79,9.26,3.47,NaCl1,7.4
178,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.83,8.86,3.03,NaCl1,7
179,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.53,9.09,3.56,NaCl1,6.88
180,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,1,5,11/16/18,30,5.67,8.99,3.32,NaCl1,6.88
181,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6.11,5.45,-0.66,NaCl2,1.7
182,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6.02,4.61,-1.41,NaCl2,1.7
183,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6.17,5.07,-1.1,NaCl2,1.7
184,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6.09,4.31,-1.78,NaCl2,1.7
185,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6,4.05,-1.95,NaCl2,1.7
186,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,2,33,11/15/18,1,6.13,5.32,-0.81,NaCl2,1.7
187,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6.11,6.54,0.43,NaCl2,3.7
188,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6.02,6.69,0.67,NaCl2,3.7
189,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6.17,6.64,0.47,NaCl2,3.7
190,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6.09,6.46,0.37,NaCl2,3.7
191,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6,6.34,0.34,NaCl2,3.7
192,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,2,33,11/15/18,1,6.13,6.75,0.62,NaCl2,3.7
